Title,Date,Description,PicLink,Category,LiveLink,Tags
Realtime Messaging App,October 2020,Exhibitors at a virtual event wanted a way to communicate with one another.  We solved this by creating a real time chat application where attendees can ask questions and conversations can happen in real time.,firebase.gif,backend,https://millsjameseventcms-testing.uc.r.appspot.com/OSU-Biannual-Clinicians-Well-Being-Summit/exhibitors/560,firebase | gooogle api | drive
Realtime Donation Tracker,December 2020,"For a live event, the client wanted to get second-by-second information for donation data coming in.  By using SSE protocols, I worked with the team to build a react app that tracks donations.  We raised over $4 Million!",tracker.gif,frontend,https://secure-temple-19626.herokuapp.com/site,
Glassroom eCommerce Site,September 2020,"An art studio was looking to leverage their existing business and create a website built on top of the powerful Shopify API to create a fast, app-like site that is interactive and feature-rich.  We were really happy with the result.",glassroom.gif,frontend,https://glassroomart.como,Gatsby | React | CI | eCommerce
Sleepy Bee Menu,May 2020,"Restaurant owners wanted an interactive way to engage with their menu especially during Covid-19, where physical menus are out of the question.  They can update the menu anytime through a live back end.",sbmenu.gif,frontend,www.sleepybee.com/menu,Javascript | d3.js | PHP | CSS
Cleanlites Order Form,May 2020,"This is a very complex order form that does not transfer easily to a computer setting.  In line with helping the company integrate with their CRM software, we worked to make this order form accessible and extensible.",cleanlitesorder.gif,backend,http://www.cleanlites.com/order,Javascript | React | REST | PHP 
Covid-19 Data Viz,April 2020,"Since the outbreak of Covid-19 NY magazine has been tracking sentiment. Using a combination of node.js, a little Python and mostly vanilla javascript, we vizualized the data in compelling ways. ",covid19.gif,frontend,http://www.albertsigman.com/visualization-project-001/index.html,Javascript | Python | d3.js
Flashcard Study App,April 2020,This was a capstone project for my tech bootcamp.  We made an interactive game that builds and stores study decks and cards.,cards.gif,other,http://random-access-cards.herokuapp.com/,Java | Javascript | REST | HTML/CSS
Custom Pre Loader,October 2019,Using adobe after effects and my own branding I made a custom .gif preloader for my website.,preloader.gif,creative,http://albertsigman.com/,After Effects | Adobe | Javascript
Lighting Style Quiz,January 2020,This quiz was made for an application I am working on that brings lighting designers to your house without needing in-person consultations.  ,quiz.gif,frontend,http://www.albertsigman.com/digital-playground/style-quiz/,Python | Django | Javascript | jQuery
JS Drum Machine,Februay 2020,I am trying to learn everything there is to know about the Javascript engine.  Part of this was having some fun with the audio buffer.,drumkit.gif,music,http://www.albertsigman.com/digital-playground/drum-machine/,Javascript | Music
